Tijdstempel,What's your age ?,My mother tongue is...,Where do you live ?,Who is your (main) broker,What is your FIRE target date?,My main strategy is investing in... (you can only select one),... but my portfolio also contains... (you can select multiple),How big is your emergency fund?,How big is your portfolio ? (Not including your home),What is your FIRE target (portfolio size),"How much do you save each month? (choose closest)(Netto savings rate. Or in other words, how much of the money you get every month can you save?",What is your savings rate ?,I answer these questions as a....
21-7-2021 14:37:04,I am in my 20's,...Dutch,Province of Antwerp,Belfius,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Mutual share funds,2.000-4.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 500€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:37:04,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,6.000-8.000€,Between 0 and 25k€,Between 550 and 600k€,Up to 500€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:38:01,I am in my 20's,....French,Brussels Capital Region,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",2.000-4.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 500€,More then 95%,single person trying to reach FIRE (1 person)
21-7-2021 14:38:30,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 0 and 25k€,,,,single person trying to reach FIRE (1 person)
21-7-2021 14:40:49,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",10.000-12.000€,Between 0 and 25k€,Between 450 and 500k€,Up to 1000€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:40:50,I am in my 30's,...Dutch,Province of Antwerp,"Just starting out, still have to choose one",Before 50 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc..., Physical real estate (house - apartment - garage - agricultural - etc...)",More then 20.000€,Between 100 and 125k€,Between 3M€ and 3.5M€,Up to 600€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:41:05,I am in my 20's,...Dutch,I am living in another country,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,6.000-8.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1200€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:41:10,I am in my 30's,...Dutch,Province of Flemish Brabant,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving",10.000-12.000€,Between 25 and 50k€,Between 1.8M€ and 2M€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:42:18,I am in my 20's,....French,Brussels Capital Region,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...)",2.000-4.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 2000€,Less then 55% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:42:28,I am in my 20's,....French,Province of Flemish Brabant,Keytrade,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Crypto currency",More then 20.000€,Between 50 and 75k€,Between 900 and 1M€,Up to 2600€,Less then 85% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:46:46,I am in my 40's,...Dutch,Province of Antwerp,Medirect,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",10.000-12.000€,Between 150 and 200k€,Between 800 and 900k€,Up to 1500€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:49:43,I am in my 20's,...Dutch,Province of Antwerp,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), TAK21 Pension saving, TAK23 Pension saving",4.000-6.000€,Between 25 and 50k€,Between 500 and 550k€,Up to 100€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:50:11,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 55 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Equity REIT's (investment company investing in Real Estate)",4.000-6.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 700€,Less then 40% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:50:24,I am in my 30's,...Dutch,Province of West Flanders,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Commodities: Gold - Silver - Platinum - etc..., Crypto currency, TAK21 Pension saving",More then 20.000€,Between 0 and 25k€,Between 700 and 800k€,Up to 1000€,Less then 25% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:51:42,I am in my 20's,...Dutch,Province of Flemish Brabant,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),10.000-12.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 1500€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:52:15,I am in my 40's,....French,Province of Luxembourg,"Just starting out, still have to choose one",Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",2.000-4.000€,Between 0 and 25k€,Between 2.8M€ and 3M€,Up to 1000€,Less then 5% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:53:05,I am younger then 20 years of age,...Dutch,Province of Antwerp,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,0 - 2.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 100€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:53:36,I am in my 20's,...Dutch,Province of East Flanders,Trading 212,Before 50 years of age,Crypto currency,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),2.000-4.000€,Between 0 and 25k€,Between 200 and 250k€,Up to 800€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:54:04,I am in my 20's,...Dutch,Province of Flemish Brabant,BinckBank,Before 40 years of age,Single shares or bonds,Crypto currency,0 - 2.000€,Between 125 and 150k€,Between 2.2M€ and 2.4M€,Up to 1500€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:54:07,I am in my 30's,...Dutch,Province of Limburg,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,4.000-6.000€,Between 0 and 25k€,Between 550 and 600k€,Up to 200€,Less then 5% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:54:23,I am in my 20's,...Dutch,Province of Flemish Brabant,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),10.000-12.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 1400€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:54:27,I am in my 30's,Portuguese,Brussels Capital Region,DeGiro,Before 40 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving",4.000-6.000€,Between 150 and 200k€,Between 450 and 500k€,Up to 2000€,Less then 55% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:56:07,I am in my 30's,...Dutch,Province of Limburg,Lynx,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Equity REIT's (investment company investing in Real Estate), Single shares or bonds",10.000-12.000€,Between 50 and 75k€,Between 900 and 1M€,Up to 1000€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 14:56:31,I am in my 30's,...Dutch,Province of Limburg,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Commodities: Gold - Silver - Platinum - etc..., Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving, TAK23 Pension saving",More then 20.000€,Between 50 and 75k€,,,,couple trying to reach FIRE (2 person)
21-7-2021 14:57:55,I am in my 30's,....French,Brussels Capital Region,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Equity REIT's (investment company investing in Real Estate), Single shares or bonds",10.000-12.000€,Between 600 and 700k€,Between 1.2M€ and 1.4M€,Above 4000€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 14:58:12,I am in my 30's,...Dutch,Province of East Flanders,DeGiro,Before 60 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),4.000-6.000€,Between 125 and 150k€,Between 550 and 600k€,Up to 1000€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 15:00:23,I am in my 30's,...Dutch,Province of West Flanders,DeGiro,Before 60 years of age,Commodities: Gold - Silver - Platinum - etc...,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...), TAK23 Pension saving",14.000-16.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1500€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 15:01:28,I am in my 40's,...Dutch,Province of Flemish Brabant,Medirect,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), TAK21 Pension saving, TAK23 Pension saving",10.000-12.000€,Between 100 and 125k€,Between 600 and 700k€,Up to 1000€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 15:02:07,I am in my 20's,...Dutch,Province of Antwerp,"Just starting out, still have to choose one",I don't think I will FIRE before I officially retire (67),"Just starting. No idea yet, but I think I will follow befire Belgium idea",Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),6.000-8.000€,Between 0 and 25k€,Between 100 and 125k€,Up to 1400€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 15:02:24,I am in my 30's,,Province of Antwerp,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,10.000-12.000€,Between 75 and 100k€,Between 600 and 700k€,Up to 2200€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 15:02:24,I am in my 20's,...Dutch,Province of Antwerp,BinckBank,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Mutual share funds",6.000-8.000€,Between 50 and 75k€,Between 1M€ and 1.2M€,Up to 2000€,Less then 85% (but more then above answer),single person trying to reach FIRE (1 person)
